id|launch name|water body|lat|lng|rating
3|Rush City Ferry Landing||45.679|-92.8758|0
4|Sunrise Landing||45.5682|-92.8648|0
5|Prescott Public Boat Launch||44.7453|-92.7988|0
6|Kleberg County Beach||27.54827778|-97.23769444|0
7|Kingtown||31.40919444|-94.51705556|0
8|Kingswood Subdivision||31.9475|-96.15333333|0
9|King Creek Boat Ramp||31.90619444|-97.41961111|0
10|Kindley Park Boat Ramp||33.19358333|-98.64616667|0
11|Kincade Park Boat Ramp||34.99391667|-100.9058889|0
12|Kinarum Lake||31.88216667|-100.2809167|0
13|Kimball Bend Park||32.12155556|-97.49363889|0
14|Kilo Land||32.10677778|-95.47741667|0
15|Kickapoo Fishing Camp||33.65161111|-98.78291667|0
16|Kickapoo Creek Ramp||32.26877778|-95.50230556|4
17|Kickapoo Creek||32.29988889|-95.50977778|5
18|Kerrville-Schreiner State Park||30.01336111|-99.12061111|0
19|Kennys Landing||32.90872222|-95.96669444|1.5
20|Kenny Hall Creek||31.84341667|-93.94091667|0
21|Kennawood||31.21777778|-93.70861111|0
22|Kelly Creek North Boat Ramp||34.99336111|-100.9099444|0
23|Kelley Creek||33.28827778|-94.25144444|0
24|Keechi Fishing Club||31.15952778|-95.75702778|0
25|Kaufer-Hubert Memorial Park||27.31927778|-97.68258333|2.5
26|Jw's Boat Ramp||33.75486111|-96.41166667|4
27|Juniper Point East||33.86141667|-96.82938889|0
28|Juniper Cove Park||31.98597222|-97.36980556|0
29|Jungmann Rd||29.32458333|-98.77961111|0
30|Jubilee Park||31.94102778|-94.97530556|0
31|Jordan Access||33.40166667|-97.00472222|0
33|Johsnon Creek Park||32.78072222|-94.54727778|0
35|Johnson Park||32.61380556|-99.67652778|0
36|Johnson Park||32.61205556|-99.68033333|0
37|Johnson Creek Park||32.78902778|-94.54780556|0
38|Johnson Branch State Park||33.40927778|-97.05058333|0
39|Johnson Branch||33.40963889|-97.04561111|0
40|John Paul Jones Park||32.86766667|-96.54625|3.5
41|John J. Stokes Sr.||29.86891667|-97.93108333|3
42|Joe's Marina|Medina Lake|29.542778|-98.929278|0
43|Joel's Camp||27.06072222|-99.45766667|0
44|Job Beason Park||29.65452778|-94.69222222|3
46|Jimmy's Boat Ramp||29.88744444|-95.09794444|0
47|Jim Hogg Park||30.681|-97.74294444|4
48|Jim Brite Road Access||28.90852778|-98.36783333|0
49|Jim Bayou Bridge||32.85411111|-94.11183333|0
50|James Robbins Park||29.54655556|-94.78741667|1
51|James Daughtery Boat Ramp||28.50908333|-98.44013889|0
52|Jamacia Beach Boat Ramp||29.18875|-94.97986111|3
53|Jacobs Creek Park||29.88308333|-98.22297222|0
54|Jackson Hill||31.27025|-94.32258333|0
55|Jackson Creek Park||33.22483333|-94.30286111|0
56|J And S Campground||31.59975|-94.82625|0
57|Isle Debois State Park||33.3785|-97.03188889|3.5
58|Island View Park||33.86352778|-96.66838889|0
59|Island View||32.7635|-94.55375|0
62|Irving St Crossing||31.45788889|-100.4364167|0
63|Iron Bridge Ramp||30.29522222|-96.62852778|0
64|Iron Bridge Park||31.28077778|-97.47227778|0
65|Iraan Roping Arena||30.90972222|-101.8782778|0
66|Inland Marine||30.36369444|-95.59661111|0
67|Ingram Lake Ramp||30.07338889|-99.26413889|4
68|Ingram Dam Crossing||30.07063889|-99.25427778|0
69|Ingleside Cove Boat Ramp||27.83763889|-97.22025|3.5
70|Indian Mounds Camping Boat Ramp||31.31044444|-93.69805556|0
71|Indian Mounds||31.32838889|-93.69483333|0
72|Indian Lodge||32.11138889|-97.488|0
73|Indian Creek Crossing||30.07133333|-99.24302778|0
74|Imperial Reservoir||31.27827778|-102.8502778|0
75|Ilse Du Bois||33.38180556|-97.03172222|3.5
76|Ih-35 Bridge||30.13533333|-97.79752778|0
